id,type_id,type,year,grade,Year  ,F,VF,EF,"",Unc,_c6,_c7
1,0,ONE PENNY,1889,N/A,1889,8,18,55,"",375,,
2,0,ONE PENNY,1903,N/A,1903,"",3,15,"",90,,
3,0,ONE PENNY,1921,N/A,1921,"",2,12,"",40,,
4,0,ONE PENNY,1920,N/A,1920,"",2,12,"",30,,
5,0,ONE PENNY,1920,N/A,1920,"",2,12,"",30,,
6,0,ONE PENNY,1921,N/A,1921,"",2,12,"",40,,
7,0,ONE PENNY,1920,N/A,1920,"",2,12,"",30,,
8,0,ONE PENNY,1927,N/A,1927,"",2,10,"",45,,
9,0,ONE PENNY,1921,N/A,1921,"",2,12,"",40,,
10,0,ONE PENNY,1929,N/A,1929,"",2,10,"",45,,
11,0,ONE PENNY,1919,N/A,1919,15,120,800,"",3200,,
11,0,ONE PENNY,1919,N/A,1919,1,18,250,"",1000,,
11,0,ONE PENNY,1919,N/A,1919,"",2,15,"",55,,
12,0,ONE PENNY,1916,N/A,1916,"",3,15,"",65,,
13,0,ONE PENNY,1917,N/A,1917,"",3,15,"",60,,
14,0,ONE PENNY,1938,N/A,1938,"","","","",6,,
15,0,ONE PENNY,1935,N/A,1935,"","",2,"",15,,
16,0,ONE PENNY,1936,N/A,1936,"","",2,"",12,,
17,0,ONE PENNY,1936,N/A,1936,"","",2,"",12,,
18,0,ONE PENNY,1938,N/A,1938,"","","","",6,,
19,0,ONE PENNY,1935,N/A,1935,"","",2,"",15,,
20,0,ONE PENNY,1965,N/A,1965,,,,,,,
21,0,ONE PENNY,1967,N/A,1967,,,,,,,
22,0,ONE PENNY,1967,N/A,1967,,,,,,,
23,0,ONE PENNY,1964,N/A,1964,,,,,,,
24,0,ONE PENNY,1967,N/A,1967,,,,,,,
25,0,ONE PENNY,1946,N/A,1946,"","","","",8,,
26,0,ONE PENNY,1930,N/A,1930,"",2,20,"",75,,
27,0,ONE PENNY,1967,N/A,1967,,,,,,,
28,0,ONE PENNY,1935,N/A,1935,"","",2,"",15,,
29,0,ONE PENNY,1938,N/A,1938,"","","","",6,,
30,0,ONE PENNY,1935,N/A,1935,"","",2,"",15,,
31,0,ONE PENNY,1928,N/A,1928,"",2,10,"",40,,
32,0,ONE PENNY,1937,N/A,1937,proof,"","","",15,,
32,0,ONE PENNY,1937,N/A,1937,"","","","",4,,
33,0,ONE PENNY,1920,N/A,1920,"",2,12,"",30,,
34,0,ONE PENNY,1921,N/A,1921,"",2,12,"",40,,
35,0,ONE PENNY,1869,N/A,1869,150,500,200,0,6000,,
36,0,ONE PENNY,1967,N/A,1967,,,,,,,
37,0,ONE PENNY,1920,N/A,1920,"",2,12,"",30,,
38,0,ONE PENNY,1936,N/A,1936,"","",2,"",12,,
39,0,ONE PENNY,1936,N/A,1936,"","",2,"",12,,
40,0,ONE PENNY,1920,N/A,1920,"",2,12,"",30,,
41,0,ONE PENNY,1967,N/A,1967,,,,,,,
42,0,ONE PENNY,1962,N/A,1962,,,,,,,
43,0,ONE PENNY,1896,N/A,1896,"",2,18,"",65,,
44,0,ONE PENNY,1902,N/A,1902,4,15,60,"",225,,
44,0,ONE PENNY,1902,N/A,1902,"",1,8,"",30,,
45,0,ONE PENNY,1962,N/A,1962,,,,,,,
46,0,ONE PENNY,1928,N/A,1928,"",2,10,"",40,,
47,0,ONE PENNY,1964,N/A,1964,,,,,,,
48,0,ONE PENNY,1967,N/A,1967,,,,,,,
49,0,ONE PENNY,1967,N/A,1967,,,,,,,
50,0,ONE PENNY,1899,N/A,1899,"",3,16,"",60,,
51,0,ONE PENNY,1966,N/A,1966,,,,,,,
52,0,ONE PENNY,1967,N/A,1967,,,,,,,
53,0,ONE PENNY,1967,N/A,1967,,,,,,,
54,0,ONE PENNY,1921,N/A,1921,"",2,12,"",40,,
55,0,ONE PENNY,1936,N/A,1936,"","",2,"",12,,
56,0,ONE PENNY,1967,N/A,1967,,,,,,,
57,0,ONE PENNY,1938,N/A,1938,"","","","",6,,
63,0,ONE PENNY,1936,N/A,1936,"","",2,"",12,,
64,0,ONE PENNY,1916,N/A,1916,"",3,15,"",65,,
65,0,ONE PENNY,1915,N/A,1915,"",3,20,"",85,,
66,0,ONE PENNY,1962,N/A,1962,,,,,,,
67,0,ONE PENNY,1927,N/A,1927,"",2,10,"",45,,
68,0,ONE PENNY,1967,N/A,1967,,,,,,,
69,0,ONE PENNY,1936,N/A,1936,"","",2,"",12,,
71,0,ONE PENNY,1905,N/A,1905,"",3,15,"",85,,
72,0,ONE PENNY,1948,N/A,1948,"","","","",5,,
73,0,ONE PENNY,1908,N/A,1908,"",3,18,"",140,,
74,0,ONE PENNY,1967,N/A,1967,,,,,,,
75,0,ONE PENNY,1920,N/A,1920,"",2,12,"",30,,
77,0,ONE PENNY,1922,N/A,1922,1000,3000,,,,,
77,0,ONE PENNY,1922,N/A,1922,"",3,28,"",160,,
79,0,ONE PENNY,1967,N/A,1967,,,,,,,
