id,type,year,grade
1, 0: ONE PENNY, 1889, N/A
2, 0: ONE PENNY, 1903, N/A
3, 0: ONE PENNY, 1921, N/A
4, 0: ONE PENNY, 1920, N/A
5, 0: ONE PENNY, 1920, N/A
6, 0: ONE PENNY, 1921, N/A
7, 0: ONE PENNY, 1920, N/A
8, 0: ONE PENNY, 1927, N/A
9, 0: ONE PENNY, 1921, N/A
10, 0: ONE PENNY, 1929, N/A
11, 0: ONE PENNY, 1919, N/A
12, 0: ONE PENNY, 1916, N/A
13, 0: ONE PENNY, 1917, N/A
14, 0: ONE PENNY, 1938, N/A
15, 0: ONE PENNY, 1935, N/A
16, 0: ONE PENNY, 1936, N/A
17, 0: ONE PENNY, 1936, N/A
18, 0: ONE PENNY, 1938, N/A
19, 0: ONE PENNY, 1935, N/A
20, 0: ONE PENNY, 1965, N/A
21, 0: ONE PENNY, 1967, N/A
22, 0: ONE PENNY, 1967, N/A
23, 0: ONE PENNY, 1964, N/A
24, 0: ONE PENNY, 1967, N/A
25, 0: ONE PENNY, 1946, N/A
26, 0: ONE PENNY, 1930, N/A
27, 0: ONE PENNY, 1967, N/A
28, 0: ONE PENNY, 1935, N/A
29, 0: ONE PENNY, 1938, N/A
30, 0: ONE PENNY, 1935, N/A
31, 0: ONE PENNY, 1928, N/A
32, 0: ONE PENNY, 1937, N/A
33, 0: ONE PENNY, 1920, N/A
34, 0: ONE PENNY, 1921, N/A
35, 0: ONE PENNY, 1869, N/A
36, 0: ONE PENNY, 1967, N/A
37, 0: ONE PENNY, 1920, N/A
38, 0: ONE PENNY, 1936, N/A
39, 0: ONE PENNY, 1936, N/A
40, 0: ONE PENNY, 1920, N/A
41, 0: ONE PENNY, 1967, N/A
42, 0: ONE PENNY, 1962, N/A
43, 0: ONE PENNY, 1896, N/A
44, 0: ONE PENNY, 1902, N/A
45, 0: ONE PENNY, 1962, N/A
46, 0: ONE PENNY, 1928, N/A
47, 0: ONE PENNY, 1964, N/A
48, 0: ONE PENNY, 1967, N/A
49, 0: ONE PENNY, 1967, N/A
50, 0: ONE PENNY, 1899, N/A
51, 0: ONE PENNY, 1966, N/A
52, 0: ONE PENNY, 1967, N/A
53, 0: ONE PENNY, 1967, N/A
54, 0: ONE PENNY, 1921, N/A
55, 0: ONE PENNY, 1936, N/A
56, 0: ONE PENNY, 1967, N/A
57, 0: ONE PENNY, 1938, N/A
58, 1: HALF PENNY, 1942, N/A
59, 1: HALF PENNY, 1964, N/A
60, 1: HALF PENNY, 1967, N/A
61, 1: HALF PENNY, 1966, N/A
62, 1: HALF PENNY, 1950, N/A
63, 0: ONE PENNY, 1936, N/A
64, 0: ONE PENNY, 1916, N/A
65, 0: ONE PENNY, 1915, N/A
66, 0: ONE PENNY, 1962, N/A
67, 0: ONE PENNY, 1927, N/A
68, 0: ONE PENNY, 1967, N/A
69, 0: ONE PENNY, 1936, N/A
70, 1: HALF PENNY, 1942, N/A
71, 0: ONE PENNY, 1905, N/A
72, 0: ONE PENNY, 1948, N/A
73, 0: ONE PENNY, 1908, N/A
74, 0: ONE PENNY, 1967, N/A
75, 0: ONE PENNY, 1920, N/A
76, 1: HALF PENNY, 1948, N/A
77, 0: ONE PENNY, 1922, N/A
78, 1: HALF PENNY, 1962, N/A
79, 0: ONE PENNY, 1967, N/A
80, 0: ONE PENNY, 1963, N/A
81, 0: ONE PENNY, 1945, N/A
82, 0: ONE PENNY, 1948, N/A
